change,companyname,high,link,low,openStock,price,symbol,volume
,,,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,,,,,
0.066 / 37.19%,FuelCell Energy Inc.,0.308,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.177,0.1885,0.242,FCEL,"51,420,778.00"
0.640 / 31.37%,Infrastructure and Energy Alternatives Inc.,3.49,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.35,2.5,2.68,IEA,"26,107,269.00"
0.003 / 2.22%,SELLAS Life Sciences Group Inc.,0.12,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.11,0.12,0.115,SLS,"10,668,286.00"
0.470 / 11.41%,Endo International plc,4.67,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4.15,4.17,4.59,ENDP,"9,281,187.00"
0.030 / 1.15%,Pareteum Corporation,2.9,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.6,2.86,2.64,TEUM,"7,835,600.00"
0.038 / 15.56%,Cytori Therapeutics Inc.,0.34,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.2604,0.28,0.28,CYTX,"6,942,754.00"
-0.014 /-9.07%,Taronis Technologies Inc.,0.155,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.129,0.155,0.1364,TRNX,"6,920,745.00"
0.00,Groupon Inc.,3.65,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3.53,3.6,3.58,GRPN,"6,914,337.00"
0.030 / 1.23%,Opko Health Inc.,2.53,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.44,2.5,2.47,OPK,"6,679,409.00"
-0.050 /-2.43%,Office Depot Inc.,2.12,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1.95,2.08,2.01,ODP,"5,802,338.00"
-0.041 /-6.69%,Ascena Retail Group Inc.,0.613,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.56,0.6073,0.5692,ASNA,"5,218,339.00"
0.050 / 1.15%,Extraction Oil &amp; Gas Inc.,4.6,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4.29,4.48,4.38,XOG,"4,734,721.00"
-0.070 /-1.43%,Gulfport Energy Corporation,5.13,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4.81,5,4.84,GPOR,"4,227,039.00"
0.170 / 7.83%,ImmunoGen Inc.,2.37,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.1731,2.21,2.34,IMGN,"4,174,862.00"
0.700 / 20.71%,Precipio Inc.,4.39,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3.5193,3.52,4.08,PRPO,"3,994,436.00"
0.010 / 0.67%,Sesen Bio Inc.,1.54,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1.36,1.53,1.51,SESN,"3,926,912.00"
0.002 / 2.47%,SiNtx Technologies Inc.,0.094,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.08,0.09,0.0871,SINT,"3,708,523.00"
-0.010 /-0.44%,Plug Power Inc.,2.33,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2.21,2.32,2.24,PLUG,"3,538,931.00"
0.006 / 3.29%,Histogenics Corporation,0.205,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.193,0.1953,0.1975,HSGX,"3,511,191.00"
-0.003 /-1.83%,Ultra Petroleum Corp.,0.2011,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,0.1767,0.1949,0.1767,UPL,"3,321,415.00"
0.00,Geron Corporation,1.46,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1.39,1.43,1.41,GERN,"3,319,905.00"
