symbol,companyname,link,volume,price,high,low,openStock,change1,change2,YahooLink,YahooData1,YahooData21,YahooData22,date
AVEO,AVEO Pharmaceuticals Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2755294,0.696,0.705,0.663,0.694,0.023,0.0339,https://finance.yahoo.com/quote/AVEO?p=AVEO&.tsrc=fin-srch,0.6960,+0.0228,(+3.39%),7/1/2019
ACRX,AcelRx Pharmaceuticals Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1809494,2.580,2.650,2.410,2.650,0.05,0.0198,https://finance.yahoo.com/quote/ACRX?p=ACRX&.tsrc=fin-srch,2.5800,+0.0500,(+1.98%),7/1/2019
ACRS,Aclaris Therapeutics Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2086932,2.430,2.430,2.210,2.280,0.24,0.1096,https://finance.yahoo.com/quote/ACRS?p=ACRS&.tsrc=fin-srch,2.4300,+0.2400,(+10.96%),7/1/2019
AMR,Alta Mesa Resources Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2126007,0.142,0.152,0.140,0.152,-0.004,-0.0267,https://finance.yahoo.com/quote/AMR?p=AMR&.tsrc=fin-srch,0.1420,-0.0039,(-2.67%),7/1/2019
ARSC,American Security Resources Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,5648,0.010,0.010,0.010,0.010,-0.002,-0.1667,https://finance.yahoo.com/quote/ARSC?p=ARSC&.tsrc=fin-srch,0.0100,-0.0020,(-16.67%),7/1/2019
AGTT,Angstrom Technologies Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,72000,0.034,0.034,0.023,0.024,-0.004,-0.1053,https://finance.yahoo.com/quote/AGTT?p=AGTT&.tsrc=fin-srch,0.0340,-0.0040,(-10.53%),7/1/2019
AGGG,Antilia Group Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,9185,1.880,2.250,1.850,2.250,-0.28,-0.1296,https://finance.yahoo.com/quote/AGGG?p=AGGG&.tsrc=fin-srch,1.8800,-0.2800,(-12.96%),7/1/2019
ARYC,Arrayit Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,1362606,0.034,0.035,0.032,0.033,0,,https://finance.yahoo.com/quote/ARYC?p=ARYC&.tsrc=fin-srch,[],[],,7/1/2019
ARTL,Artelo Biosciences Inc.,https://www.allpennystocks.com/hotpennystocks/oto.aspx,73006,4.000,4.633,3.800,4.600,-0.6,-0.1304,https://finance.yahoo.com/quote/ARTL?p=ARTL&.tsrc=fin-srch,4.0700,-0.5300,(-11.52%),7/1/2019
ASNA,Ascena Retail Group Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,5218339,0.569,0.613,0.560,0.607,-0.041,-0.0669,https://finance.yahoo.com/quote/ASNA?p=ASNA&.tsrc=fin-srch,0.5692,-0.0408,(-6.69%),7/1/2019
